state_abbv,n_abs_nonret,n_abs_rej_all_ballots,n_eavs_completeness,n_eric_membership,n_nonvoter_illness_onyear_new,n_nonvoter_reg_pct,n_online_reg,n_pct_reg_of_vep_vrs,n_post_election_audit,n_prov_partic,n_prov_rej_all,n_reg_rej,n_residual,n_risk_limiting_audits,n_uocava_nonret,n_uocava_rej,n_vep_turnout,n_wait,n_website,state,index
AK,0.549152,0.9075704,1,1,0.6194057,0.7084143,1,0.7736409,1,0.7524254,0.9654887,0.8228627,0.9047286,,0.7200477,0.9741138,0.7037177,0.817355,0.8,Alaska,0.83438462
AL,,,0.8803726,1,0.2586533,0.6596164,1,0.7076592,0,0.9498737,0.8565541,0.9819815,0.9604919,,0.592489,0.9793935,0.5545146,0.6811514,1,Alabama,0.75392193
AR,0.951859,0.6357488,0.9496029,,0.4720136,0.6804643,0,0.5118089,1,0.8691446,0.7928661,0.9994041,0.935335,,,,0.3677406,0.8548123,0.6,Arkansas,0.70805335
AZ,0.617884,0.8811576,1,1,1,0.5904641,1,0.658249,1,0.8879773,0.692377,0.9315279,0.7652652,,0.7389901,0.9948061,0.6284442,0.9286011,0.8,Arizona,0.83976352
CA,,0.7193715,0.8629141,,0.4611261,0.5201778,1,0.6007448,1,,,0.8304563,0.6112784,,0.2299457,0.9690533,0.6968129,0.9353184,0.8,California,0.73122853
CO,,0.517089,1,1,0.757793,0.5019953,1,0.8672138,1,0.9992156,0.9969826,0.9854279,0.7267557,1,0.3810454,0.9413452,0.9061507,0.9893779,1,Colorado,0.86502177
CT,0.564071,0.8139083,0.9400161,1,0.6648704,0.6118789,1,0.7382396,1,0.9992398,0.9977036,,0.5021335,,0.6306027,0.9530099,0.775849,0.8584499,1,Connecticut,0.826469
DC,,0.8899069,1,1,0.2091216,0.6131316,1,1,1,0.9332891,0.8046566,0.9584383,0.8779211,,0.7012345,0.9963928,0.57984,0.945268,1,District of Columbia,0.85348237
DE,0.7073898,0.7813937,1,1,0.2795426,0.7192256,1,0.7281386,1,0.9935923,0.9667411,0.8773081,0.7663323,,0.7129622,0.8979003,0.7543303,0.4718341,1,Delaware,0.8142606
FL,0.5032414,0.9365787,0.9968572,1,0.7099569,0.7680913,1,0.6867507,1,0.9858435,0.9366738,0.8506194,0.856663,,0.6658595,0.9637566,0.7804635,0.7692147,0.6,Florida,0.83392054
GA,0.4220692,0.9527312,0.9996231,1,0.6237717,0.551047,1,0.6818641,1,0.9726558,0.9353368,0.9908605,0.8928883,1,0.4034747,0.958446,0.6843408,0.6238699,1,Georgia,0.82594627
HI,,0.745342,0.981145,,0.8836758,0.2823346,1,0.4515665,1,0.9998425,0.9994602,,0.7937072,,0.6174123,0.9801325,0.4061753,1,1,Hawaii,0.80938625
IA,0.8891971,0.9215422,1,1,0.3750235,0.8866915,1,0.8192577,1,0.9919276,0.9843455,0.9900484,0.8973516,,0.7840358,0.9899025,0.8223565,0.8895686,0.6,Iowa,0.88006938
ID,0.7096488,0.7598659,0.8650624,,0.6572496,0.8149326,1,0.4046699,1,1,1,,0.6976796,,,,0.6824593,0.9029808,0.75,Idaho,0.80318207
IL,0.7780373,0.703458,0.9926044,,0.7783805,0.7258807,1,0.7395713,1,0.9375867,0.9330091,0.9125531,0.7559251,,0.6649526,0.9611748,0.6575772,0.8514448,0.6,Illinois,0.82306796
IN,0.9690569,0.9536066,0.9967892,,0.3724793,0.714489,1,0.4750139,1,0.9862912,0.9306666,0.943722,0.7318239,,0.7409021,0.992285,0.5080289,0.3164692,1,Indiana,0.80186021
KS,0.5400909,,0.8928932,,0.5079801,0.6686525,1,0.566753,1,0.7360858,0.5468614,,,,0.8210708,0.9907815,0.6268627,0.8981495,0.6,Kansas,0.74258441
KY,0.8951402,0.9256427,0.9998555,1,0.1626528,0.7613572,1,0.7026095,1,0.9964284,0.9774306,0.1005862,,,0.5517179,0.9978582,0.6024888,0.9192362,1,Kentucky,0.7995885
